"plot_names","B2","B3","B4","B5","B6","B7","B8","B8A","B11","B12","dat"
"Deuter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Gubitzmoos_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Gubitzmoos_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Nördlicher_Deuterweg_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Nördlicher_Deuterweg_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Nördlicher_Deuterweg_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Nördlicher_Deuterweg_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Nördlicher_Deuterweg_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Nördlicher_Deuterweg_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Obernschreez_68_Nord",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Obernschreez_68_Süd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Obernschreez_726_Ost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Obernschreez_726_West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Obernschreez_734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Schobertsberg_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Schobertsberg_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Schobertsberg_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Schobertsberg_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Schobertsberg_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Südlich_Bauhof_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
"Südlich_Bauhof_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-06
